ImageNo,Linear,Hue,Gradient,Adaptive,Kimmel nedi,LMMSE,Inbuilt
1,25.020981,28.393903,30.915086,31.16866,28.630255,38.394391,30.997148
2,32.32619,31.083711,37.00295,36.428242,31.197818,36.899786,37.489832
3,33.233287,35.441389,38.334397,37.606956,36.186923,42.201661,38.828078
4,32.701767,30.411122,36.26549,34.957915,30.725532,38.433935,37.583553
5,25.575087,28.295072,31.325573,30.738379,28.996997,38.755118,32.83815
6,26.50824,29.863666,32.471379,32.473685,30.255032,40.590336,32.346403
7,32.457867,35.607405,38.492655,36.63765,36.405957,42.457297,38.863175
8,22.459896,26.131255,29.667944,29.920405,26.39282,36.15359,28.400977
9,31.420659,34.740039,37.498733,37.169126,35.276847,42.513703,37.102402
10,31.44093,34.4922,36.94977,36.594371,35.325797,42.136104,37.690107
11,28.215747,31.0416,33.471072,33.467851,31.326906,39.65801,34.053716
12,31.527602,34.933326,38.26595,38.173748,35.623053,43.059523,37.437665
13,23.024871,26.393426,27.050185,27.777019,26.523735,35.276143,28.96166
14,28.242512,30.355245,33.392007,32.371234,30.725588,37.466624,34.42766
15,30.009616,30.663394,35.382734,34.957605,30.867542,37.609524,36.004989
16,30.234889,33.368449,36.005385,36.079465,33.657506,43.982896,35.345059
17,31.37914,34.531689,35.981185,35.892899,35.06245,42.233657,37.092396
18,27.234126,30.359654,31.35599,31.259439,30.441064,35.045122,33.323786
19,27.001859,30.661655,34.509946,34.476438,30.922111,39.720703,32.871654
20,30.824922,34.075627,36.108111,35.667455,34.62404,40.758352,36.847778
21,27.669396,30.963032,32.748456,32.479539,31.175989,38.953021,33.519001
22,29.986328,32.873407,34.443697,34.023359,33.073,37.94703,35.306263
23,34.435433,36.284108,40.151001,38.806787,36.839651,36.531258,40.747153
24,26.375372,29.752312,30.263673,30.480242,29.850049,35.663701,32.160794
